domain,url,platform,quality_score,has_products,product_count,ecom_signals,detected_payments,monthly_visits,source,tranco_rank,majestic_rank
www.bacardi.com,https://www.bacardi.com,shopify,80,True,0,5,,2222150,storeleads,,
www.urbanbodyjewelry.com,https://www.urbanbodyjewelry.com,shopify,80,True,0,5,,2201713,storeleads,,
www.freshtrends.com,https://www.freshtrends.com,shopify,80,True,0,5,,2171911,storeleads,,
drinkpoppi.com,https://drinkpoppi.com,shopify,80,True,0,5,,2163245,storeleads,,
drinkolipop.com,https://drinkolipop.com,shopify,80,True,0,5,,2146474,storeleads,,
forloveandlemons.com,https://forloveandlemons.com,shopify,80,True,0,5,,2131348,storeleads,,
www.shopwss.com,https://www.shopwss.com,shopify,80,True,0,5,,2127137,storeleads,,
society6.com,https://society6.com,shopify,80,True,0,5,,2119428,storeleads,,
www.thehydrojug.com,https://www.thehydrojug.com,shopify,80,True,0,5,,2116878,storeleads,,
www.aesop.com,https://www.aesop.com,shopify,80,True,0,5,,2111736,storeleads,,
us.davines.com,https://us.davines.com,shopify,80,True,0,5,,2097933,storeleads,,
www.parachutehome.com,https://www.parachutehome.com,shopify,80,True,0,5,,2096859,storeleads,,
www.puffco.com,https://www.puffco.com,shopify,80,True,0,5,,2093325,storeleads,,
www.alaninu.com,https://www.alaninu.com,shopify,80,True,0,5,,2092267,storeleads,,
www.baggu.com,https://www.baggu.com,shopify,80,True,0,5,,2091970,storeleads,,
www.greenworkstools.com,https://www.greenworkstools.com,shopify,80,True,0,5,,2086590,storeleads,,
www.evenflo.com,https://www.evenflo.com,shopify,80,True,0,5,,2078685,storeleads,,
www.allbirds.com,https://www.allbirds.com,shopify,80,True,0,5,,2075517,storeleads,,
sandjest.com,https://sandjest.com,shopify,80,True,0,5,,2068131,storeleads,,
www.psychobunny.com,https://www.psychobunny.com,shopify,80,True,0,5,,2060666,storeleads,,
www.ftd.com,https://www.ftd.com,shopify,80,True,0,5,,2044820,storeleads,,
www.hawaiianbarbecue.com,https://www.hawaiianbarbecue.com,shopify,80,True,0,5,,2032372,storeleads,,
www.soundcore.com,https://www.soundcore.com,shopify,80,True,0,5,,2020209,storeleads,,
shopakira.com,https://shopakira.com,shopify,80,True,0,5,,2011739,storeleads,,
www.brumate.com,https://www.brumate.com,shopify,80,True,0,5,,2010051,storeleads,,
loveamika.com,https://loveamika.com,shopify,80,True,0,5,,2007019,storeleads,,
eyemartexpress.com,https://eyemartexpress.com,shopify,80,True,0,5,,2005136,storeleads,,
www.fredericks.com,https://www.fredericks.com,shopify,80,True,0,5,,1978879,storeleads,,
www.puravidabracelets.com,https://www.puravidabracelets.com,shopify,80,True,0,5,,1977127,storeleads,,
ca.stanley1913.com,https://ca.stanley1913.com,shopify,80,True,0,5,,1964419,storeleads,,
www.baublebar.com,https://www.baublebar.com,shopify,80,True,0,5,,1960044,storeleads,,
www.drbronner.com,https://www.drbronner.com,shopify,80,True,0,5,,1947945,storeleads,,
www.dolcevita.com,https://www.dolcevita.com,shopify,80,True,0,5,,1947611,storeleads,,
www.eufy.com,https://www.eufy.com,shopify,80,True,0,5,,1940252,storeleads,,
costafarms.com,https://costafarms.com,shopify,80,True,0,5,,1939506,storeleads,,
www.alexandani.com,https://www.alexandani.com,shopify,80,True,0,5,,1933745,storeleads,,
www.butcherbox.com,https://www.butcherbox.com,shopify,80,True,0,5,,1929184,storeleads,,
hoover.com,https://hoover.com,shopify,80,True,0,5,,1921074,storeleads,,
www.muji.us,https://www.muji.us,shopify,80,True,0,5,,1918852,storeleads,,
jaxxon.com,https://jaxxon.com,shopify,80,True,0,5,,1909249,storeleads,,
www.lionbrand.com,https://www.lionbrand.com,shopify,80,True,0,5,,1905128,storeleads,,
azoproducts.com,https://azoproducts.com,shopify,80,True,0,5,,1897779,storeleads,,
www.astrthelabel.com,https://www.astrthelabel.com,shopify,80,True,0,5,,1890838,storeleads,,
betseyjohnson.com,https://betseyjohnson.com,shopify,80,True,0,5,,1889092,storeleads,,
gallerydept.com,https://gallerydept.com,shopify,80,True,0,5,,1880759,storeleads,,
lumedeodorant.com,https://lumedeodorant.com,shopify,80,True,0,5,,1872210,storeleads,,
www.setforset.com,https://www.setforset.com,shopify,80,True,0,5,,1857047,storeleads,,
thehalara.com,https://thehalara.com,shopify,80,True,0,5,,1852846,storeleads,,
www.thefryecompany.com,https://www.thefryecompany.com,shopify,80,True,0,5,,1846122,storeleads,,
www.goodamerican.com,https://www.goodamerican.com,shopify,80,True,0,5,,1845260,storeleads,,
drinklmnt.com,https://drinklmnt.com,shopify,80,True,0,5,,1836186,storeleads,,
www.eero.com,https://www.eero.com,shopify,80,True,0,5,,1835059,storeleads,,
olukai.com,https://olukai.com,shopify,80,True,0,5,,1823521,storeleads,,
www.dcshoes.com,https://www.dcshoes.com,shopify,80,True,0,5,,1811130,storeleads,,
tylerchildersmusic.com,https://tylerchildersmusic.com,shopify,80,True,0,5,,1807538,storeleads,,
tnuck.com,https://tnuck.com,shopify,80,True,0,5,,1802940,storeleads,,
www.oliviabottega.com,https://www.oliviabottega.com,shopify,80,True,0,5,,1800581,storeleads,,
www.sherrihill.com,https://www.sherrihill.com,shopify,80,True,0,5,,1793428,storeleads,,
theouai.com,https://theouai.com,shopify,80,True,0,5,,1793391,storeleads,,
www.midea.com,https://www.midea.com,shopify,80,True,0,5,,1792586,storeleads,,
bloomnu.com,https://bloomnu.com,shopify,80,True,0,5,,1781365,storeleads,,
www.bratz.com,https://www.bratz.com,shopify,80,True,0,5,,1775361,storeleads,,
liquiddeath.com,https://liquiddeath.com,shopify,80,True,0,5,,1768446,storeleads,,
www.kttape.com,https://www.kttape.com,shopify,80,True,0,5,,1764763,storeleads,,
