url,domain,platform,niche,country,source,tranco_rank,majestic_rank
https://designnews.com,designnews.com,unknown,general,,majestic_filtered,78847,23545
https://designnominees.com,designnominees.com,unknown,general,,majestic_filtered,241733,62406
https://designntrend.com,designntrend.com,unknown,general,,majestic_filtered,735680,209881
https://designobserver.com,designobserver.com,unknown,general,,majestic_filtered,101998,25337
https://designof.se,designof.se,unknown,general,,majestic_filtered,0,967991
https://designoffices.de,designoffices.de,unknown,general,,majestic_filtered,487782,401088
https://designofhuman.ru,designofhuman.ru,unknown,general,,majestic_filtered,0,618201
https://designon2014.co.kr,designon2014.co.kr,unknown,general,,majestic_filtered,0,549000
https://designonline24.nl,designonline24.nl,unknown,general,,majestic_filtered,0,858941
https://designorate.com,designorate.com,unknown,general,,majestic_filtered,0,358817
https://designorbital.com,designorbital.com,unknown,general,,majestic_filtered,238647,57925
https://designpages.ru,designpages.ru,unknown,general,,majestic_filtered,0,851721
https://designpavelzapletal.cz,designpavelzapletal.cz,unknown,general,,majestic_filtered,959075,258583
https://designpickle.com,designpickle.com,unknown,general,,majestic_filtered,309455,239703
https://designpitara.com,designpitara.com,unknown,general,,majestic_filtered,0,506401
https://designpocket.jp,designpocket.jp,unknown,general,,majestic_filtered,584838,836893
https://designpop.ie,designpop.ie,unknown,general,,majestic_filtered,0,503559
https://designpornography.com,designpornography.com,unknown,general,,majestic_filtered,0,582902
https://designpress.com,designpress.com,unknown,general,,majestic_filtered,0,741850
https://designprosau.com,designprosau.com,unknown,general,,majestic_filtered,403902,253382
https://designpublic.com,designpublic.com,unknown,general,,majestic_filtered,578989,283554
https://designradiatorkopen.com,designradiatorkopen.com,unknown,general,,majestic_filtered,471321,167247
https://designrein.ru,designrein.ru,unknown,general,,majestic_filtered,0,575283
https://designrelated.com,designrelated.com,unknown,general,,majestic_filtered,0,421181
https://designrevision.com,designrevision.com,unknown,general,,majestic_filtered,0,628540
https://designreviver.com,designreviver.com,unknown,general,,majestic_filtered,0,347560
https://designrfix.com,designrfix.com,unknown,general,,majestic_filtered,0,310761
https://designrr.co,designrr.co,unknown,general,,majestic_filtered,0,880283
https://designrulz.com,designrulz.com,unknown,general,,majestic_filtered,738565,221666
https://designrush.com,designrush.com,unknown,general,,majestic_filtered,14948,3588
https://designsbyjuju.com,designsbyjuju.com,unknown,general,,majestic_filtered,153614,867386
https://designsbymark.com,designsbymark.com,unknown,general,,majestic_filtered,0,706605
https://designsbymaverick.com,designsbymaverick.com,unknown,general,,majestic_filtered,0,502120
https://designsbymissmandee.com,designsbymissmandee.com,unknown,general,,majestic_filtered,0,669561
https://designsbystudioc.com,designsbystudioc.com,unknown,general,,majestic_filtered,0,898201
https://designschool.ru,designschool.ru,unknown,general,,majestic_filtered,0,897905
https://designsforcricut.com,designsforcricut.com,unknown,general,,majestic_filtered,0,497990
https://designsforhealth.com,designsforhealth.com,unknown,health,,majestic_filtered,145003,123090
https://designshanghai.com,designshanghai.com,unknown,general,,majestic_filtered,0,495801
https://designshock.com,designshock.com,unknown,general,,majestic_filtered,0,860128
https://designshop.ie,designshop.ie,unknown,general,,majestic_filtered,0,326245
https://designshuffle.com,designshuffle.com,unknown,general,,majestic_filtered,0,898301
https://designskolenkolding.dk,designskolenkolding.dk,unknown,general,,majestic_filtered,0,327109
https://designsmaz.com,designsmaz.com,unknown,general,,majestic_filtered,0,790103
https://designsojourn.com,designsojourn.com,unknown,general,,majestic_filtered,0,956996
https://designsolid.com,designsolid.com,unknown,general,,majestic_filtered,0,605067
https://designspark.com,designspark.com,unknown,general,,majestic_filtered,659365,295042
https://designspiration.com,designspiration.com,unknown,general,,majestic_filtered,21701,5832
https://designspma.com,designspma.com,unknown,general,,majestic_filtered,0,971866
https://designsponge.com,designsponge.com,unknown,general,,majestic_filtered,91601,21871
https://designspongeonline.com,designspongeonline.com,unknown,general,,majestic_filtered,473421,128385
https://designspotter.com,designspotter.com,unknown,general,,majestic_filtered,0,526395
https://designsrazzi.com,designsrazzi.com,unknown,general,,majestic_filtered,0,807769
https://designstoriesinc.com,designstoriesinc.com,unknown,general,,majestic_filtered,200348,739586
https://designstub.com,designstub.com,unknown,general,,majestic_filtered,0,936095
https://designstudiostar.com,designstudiostar.com,unknown,general,,majestic_filtered,0,996986
https://designstudiouiux.com,designstudiouiux.com,unknown,general,,majestic_filtered,0,967393
https://designsvalley.com,designsvalley.com,unknown,general,,majestic_filtered,0,910636
https://designswan.com,designswan.com,unknown,general,,majestic_filtered,609184,249515
https://designswarm.com,designswarm.com,unknown,general,,majestic_filtered,0,786795
https://designsystem.es,designsystem.es,unknown,general,,majestic_filtered,0,322203
https://designsystempedia.com,designsystempedia.com,unknown,general,,majestic_filtered,0,897254
https://designsystems.com,designsystems.com,unknown,general,,majestic_filtered,0,414011
https://designsystemsrepo.com,designsystemsrepo.com,unknown,general,,majestic_filtered,0,569131
https://designtagebuch.de,designtagebuch.de,unknown,general,,majestic_filtered,463890,188646
https://designtaxi.com,designtaxi.com,unknown,general,,majestic_filtered,77590,21514
https://designtechnica.com,designtechnica.com,unknown,electronics,,majestic_filtered,0,310819
https://designtegels.nl,designtegels.nl,unknown,general,,majestic_filtered,0,894915
https://designtekura.com,designtekura.com,unknown,general,,majestic_filtered,0,625633
https://designtex.com,designtex.com,unknown,general,,majestic_filtered,597504,321611
https://designthinkers.com,designthinkers.com,unknown,general,,majestic_filtered,0,982523
https://designthinking.es,designthinking.es,unknown,general,,majestic_filtered,0,662269
https://designthusiasm.com,designthusiasm.com,unknown,general,,majestic_filtered,974992,436517
https://designtoimprovelife.dk,designtoimprovelife.dk,unknown,general,,majestic_filtered,0,601897
https://designtorontoweb.ca,designtorontoweb.ca,unknown,general,,majestic_filtered,0,772955
https://designtoscano.com,designtoscano.com,unknown,general,,majestic_filtered,882301,261716
https://designtrends.com,designtrends.com,unknown,general,,majestic_filtered,732139,260284
https://designtripper.com,designtripper.com,unknown,general,,majestic_filtered,0,501859
https://designveloper.com,designveloper.com,unknown,general,,majestic_filtered,848346,311922
https://designwalker.com,designwalker.com,unknown,general,,majestic_filtered,0,759407
https://designwall.com,designwall.com,unknown,general,,majestic_filtered,319774,104837
https://designwanted.com,designwanted.com,unknown,general,,majestic_filtered,524887,229877
https://designwebkit.com,designwebkit.com,unknown,general,,majestic_filtered,0,709728
https://designweekmexico.com,designweekmexico.com,unknown,general,,majestic_filtered,0,908342
https://designwerk.com,designwerk.com,unknown,general,,majestic_filtered,0,671289
