url,domain,platform,niche,country,source,tranco_rank,majestic_rank,status,http_status,has_products,product_count,product_types,tags,is_headless,detected_payments,ecom_signal_count,min_price,max_price,monthly_visits,merchant_name
https://www.livelyroot.com,www.livelyroot.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,3000570,Lively Root
https://www.yarnspirations.com,www.yarnspirations.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2993533,Yarnspirations
https://www.turtlebeach.com,www.turtlebeach.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2992988,Turtle Beach USA
https://www.melissaanddoug.com,www.melissaanddoug.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2905493,Melissa & Doug
https://www.thesill.com,www.thesill.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2874918,The Sill
https://blackstoneproducts.com,blackstoneproducts.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2810220,Blackstone Products
https://www.golo.com,www.golo.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2764345,GOLO
https://us.supreme.com,us.supreme.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2760277,Supreme
https://beistravel.com,beistravel.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2742548,Béis
https://www.ecoatm.com,www.ecoatm.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2740337,ecoATM Gazelle
https://edikted.com,edikted.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2734570,edikted
https://www.tastesoflizzyt.com,www.tastesoflizzyt.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2692959,Tastes of Lizzy T
https://www.tipsyelves.com,www.tipsyelves.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2690848,Tipsy Elves
https://us.bape.com,us.bape.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2645497,us.bape.com
https://stetson.com,stetson.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2639218,Stetson
https://pearljam.com,pearljam.com,shopify,,US,storeleads,,,active_ecommerce,200,True,0,,,False,,5,,,2638249,Pearl Jam
