domain,status,platform,has_products,product_count,ecom_signals,has_payment,source
amleto.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amovia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ampede.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amplificoband.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amps.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amusd.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
amybrecker.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anada.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anaispi.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
analogue.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anand.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
ananda.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anandartin.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
anconia.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andbreakfast.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andersons.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andies.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andolini.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andr3s.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andreak.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andreas1.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andrei.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andreiw.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andreleite.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andrew.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andrews.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andy.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andyblackwell.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andylim.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andylwl.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andylwl2.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andyrosen.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
andyrsc.myshopify.com,active_ecommerce,shopify,True,,3,True,github_gist
